SST(°C) mean stdv
3.110000 0.203786 0.087345
3.120000 0.204128 0.087312
3.130000 0.204471 0.087308
3.140000 0.204813 0.087312
3.150000 0.205155 0.087279
3.160000 0.205498 0.087245
3.170000 0.205840 0.087211
3.180000 0.206182 0.087177
3.190000 0.206524 0.087143
3.200000 0.206866 0.087109
3.210000 0.207209 0.087075
3.220000 0.207551 0.087040
3.230000 0.207893 0.087005
3.240000 0.208235 0.086970
3.250000 0.208577 0.086935
3.260000 0.208919 0.086900
3.270000 0.209261 0.086892
3.280000 0.209603 0.086919
3.290000 0.209945 0.086945
3.300000 0.210287 0.086972
3.310000 0.210629 0.086999
3.320000 0.210971 0.087025
3.330000 0.211313 0.087052
3.340000 0.211655 0.087080
3.350000 0.211997 0.087107
3.360000 0.212339 0.087134
3.370000 0.212681 0.087162
3.380000 0.213023 0.087189
3.390000 0.213364 0.087217
3.400000 0.213706 0.087245
3.410000 0.214048 0.087273
3.420000 0.214390 0.087301
3.430000 0.214731 0.087330
3.440000 0.215073 0.087358
3.450000 0.215415 0.087387
3.460000 0.215756 0.087415
3.470000 0.216098 0.087444
3.480000 0.216439 0.087473
3.490000 0.216781 0.087502
3.500000 0.217122 0.087531
3.510000 0.217464 0.087560
3.520000 0.217805 0.087590
3.530000 0.218147 0.087613
3.540000 0.218488 0.087641
3.550000 0.218829 0.087671
3.560000 0.219171 0.087700
3.570000 0.219512 0.087714
3.580000 0.219853 0.087672
3.590000 0.220194 0.087630
3.600000 0.220535 0.087588
3.610000 0.220877 0.087546
3.620000 0.221218 0.087504
3.630000 0.221559 0.087462
3.640000 0.221900 0.087419
3.650000 0.222241 0.087377
3.660000 0.222582 0.087335
3.670000 0.222923 0.087292
3.680000 0.223263 0.087250
3.690000 0.223604 0.087207
3.700000 0.223945 0.087165
3.710000 0.224286 0.087122
3.720000 0.224626 0.087079
3.730000 0.224967 0.087076
3.740000 0.225308 0.087102
3.750000 0.225648 0.087129
3.760000 0.225989 0.087155
3.770000 0.226329 0.087182
3.780000 0.226670 0.087204
3.790000 0.227010 0.087160
3.800000 0.227350 0.087116
3.810000 0.227691 0.087072
3.820000 0.228031 0.087082
3.830000 0.228371 0.087108
3.840000 0.228711 0.087134
3.850000 0.229051 0.087160
3.860000 0.229391 0.087186
3.870000 0.229731 0.087212
3.880000 0.230071 0.087238
3.890000 0.230411 0.087265
3.900000 0.230751 0.087291
3.910000 0.231091 0.087317
3.920000 0.231430 0.087343
3.930000 0.231770 0.087370
3.940000 0.232110 0.087396
3.950000 0.232449 0.087422
3.960000 0.232789 0.087449
3.970000 0.233128 0.087475
3.980000 0.233468 0.087502
3.990000 0.233807 0.087528
4.000000 0.234146 0.087554
4.010000 0.234486 0.087581
4.020000 0.234825 0.087607
4.030000 0.235164 0.087633
4.040000 0.235503 0.087604
4.050000 0.235842 0.087608
4.060000 0.236181 0.087559
4.070000 0.236520 0.087510
4.080000 0.236859 0.087462
4.090000 0.237198 0.087440
4.100000 0.237536 0.087465
4.110000 0.237875 0.087490
4.120000 0.238214 0.087516
4.130000 0.238552 0.087541
4.140000 0.238891 0.087566
4.150000 0.239229 0.087591
4.160000 0.239567 0.087615
4.170000 0.239906 0.087636
4.180000 0.240244 0.087596
4.190000 0.240582 0.087621
4.200000 0.240920 0.087639
